X,Y,Z,C
-75.0,-4.25,0.0,0.46
-75.0,-4.25,0.5,0.46
-75.0,-4.25,1.0,0.46
-75.0,-4.25,1.5,0.46
-75.0,-4.25,2.0,0.46
-75.0,-3.75,0.0,0.46
-75.0,-3.75,0.5,0.46
-75.0,-3.75,1.0,0.46
-75.0,-3.75,1.5,0.46
-75.0,-3.75,2.0,0.46
-75.0,-3.25,0.0,0.46
-75.0,-3.25,0.5,0.46
-75.0,-3.25,1.0,0.46
-75.0,-3.25,1.5,0.46
-75.0,-3.25,2.0,0.46
-75.0,-2.75,0.0,0.46
-75.0,-2.75,0.5,0.46
-75.0,-2.75,1.0,0.46
-75.0,-2.75,1.5,0.46
-75.0,-2.75,2.0,0.46
-75.0,-2.25,0.0,0.46
-75.0,-2.25,0.5,0.46
-75.0,-2.25,1.0,0.46
-75.0,-2.25,1.5,0.46
-75.0,-2.25,2.0,0.46
-75.0,-1.75,0.0,0.46
-75.0,-1.75,0.5,0.46
-75.0,-1.75,1.0,0.46
-75.0,-1.75,1.5,0.46
-75.0,-1.75,2.0,0.46
-75.0,-1.25,0.0,0.46
-75.0,-1.25,0.5,0.46
-75.0,-1.25,1.0,0.46
-75.0,-1.25,1.5,0.46
-75.0,-1.25,2.0,0.46
-75.0,-0.75,0.0,0.46
-75.0,-0.75,0.5,0.46
-75.0,-0.75,1.0,0.46
-75.0,-0.75,1.5,0.46
-75.0,-0.75,2.0,0.46
-75.0,0.75,0.0,0.46
-75.0,0.75,0.5,0.46
-75.0,0.75,1.0,0.46
-75.0,0.75,1.5,0.46
-75.0,0.75,2.0,0.46
-75.0,1.25,0.0,0.46
-75.0,1.25,0.5,0.46
-75.0,1.25,1.0,0.46
-75.0,1.25,1.5,0.46
-75.0,1.25,2.0,0.46
-75.0,1.75,0.0,0.46
-75.0,1.75,0.5,0.46
-75.0,1.75,1.0,0.46
-75.0,1.75,1.5,0.46
-75.0,1.75,2.0,0.46
-75.0,2.25,0.0,0.46
-75.0,2.25,0.5,0.46
-75.0,2.25,1.0,0.46
-75.0,2.25,1.5,0.46
-75.0,2.25,2.0,0.46
-75.0,2.75,0.0,0.46
-75.0,2.75,0.5,0.46
-75.0,2.75,1.0,0.46
-75.0,2.75,1.5,0.46
-75.0,2.75,2.0,0.46
-75.0,3.25,0.0,0.46
-75.0,3.25,0.5,0.46
-75.0,3.25,1.0,0.46
-75.0,3.25,1.5,0.46
-75.0,3.25,2.0,0.46
-75.0,3.75,0.0,0.46
-75.0,3.75,0.5,0.46
-75.0,3.75,1.0,0.46
-75.0,3.75,1.5,0.46
-75.0,3.75,2.0,0.46
-75.0,4.25,0.0,0.46
-75.0,4.25,0.5,0.46
-75.0,4.25,1.0,0.46
-75.0,4.25,1.5,0.46
-75.0,4.25,2.0,0.46
-74.5,-4.25,0.0,0.46
-74.5,-4.25,0.5,0.46
-74.5,-4.25,1.0,0.46
-74.5,-4.25,1.5,0.46
-74.5,-4.25,2.0,0.46
-74.5,-3.75,0.0,0.46
-74.5,-3.75,0.5,0.46
-74.5,-3.75,1.0,0.46
-74.5,-3.75,1.5,0.46
-74.5,-3.75,2.0,0.46
-74.5,-3.25,0.0,0.46
-74.5,-3.25,0.5,0.46
-74.5,-3.25,1.0,0.46
-74.5,-3.25,1.5,0.46
-74.5,-3.25,2.0,0.46
-74.5,-2.75,0.0,0.46
-74.5,-2.75,0.5,0.46
-74.5,-2.75,1.0,0.46
-74.5,-2.75,1.5,0.46
-74.5,-2.75,2.0,0.46
-74.5,-2.25,0.0,0.46
-74.5,-2.25,0.5,0.46
-74.5,-2.25,1.0,0.46
-74.5,-2.25,1.5,0.46
-74.5,-2.25,2.0,0.46
-74.5,-1.75,0.0,0.46
-74.5,-1.75,0.5,0.46
-74.5,-1.75,1.0,0.46
-74.5,-1.75,1.5,0.46
-74.5,-1.75,2.0,0.46
-74.5,-1.25,0.0,0.46
-74.5,-1.25,0.5,0.46
-74.5,-1.25,1.0,0.46
-74.5,-1.25,1.5,0.46
-74.5,-1.25,2.0,0.46
-74.5,-0.75,0.0,0.46
-74.5,-0.75,0.5,0.46
-74.5,-0.75,1.0,0.46
-74.5,-0.75,1.5,0.46
-74.5,-0.75,2.0,0.46
-74.5,0.75,0.0,0.46
-74.5,0.75,0.5,0.46
-74.5,0.75,1.0,0.46
-74.5,0.75,1.5,0.46
-74.5,0.75,2.0,0.46
-74.5,1.25,0.0,0.46
-74.5,1.25,0.5,0.46
-74.5,1.25,1.0,0.46
-74.5,1.25,1.5,0.46
-74.5,1.25,2.0,0.46
-74.5,1.75,0.0,0.46
-74.5,1.75,0.5,0.46
-74.5,1.75,1.0,0.46
-74.5,1.75,1.5,0.46
-74.5,1.75,2.0,0.46
-74.5,2.25,0.0,0.46
-74.5,2.25,0.5,0.46
-74.5,2.25,1.0,0.46
-74.5,2.25,1.5,0.46
-74.5,2.25,2.0,0.46
-74.5,2.75,0.0,0.46
-74.5,2.75,0.5,0.46
-74.5,2.75,1.0,0.46
-74.5,2.75,1.5,0.46
-74.5,2.75,2.0,0.46
-74.5,3.25,0.0,0.46
-74.5,3.25,0.5,0.46
-74.5,3.25,1.0,0.46
-74.5,3.25,1.5,0.46
-74.5,3.25,2.0,0.46
-74.5,3.75,0.0,0.46
-74.5,3.75,0.5,0.46
-74.5,3.75,1.0,0.46
-74.5,3.75,1.5,0.46
-74.5,3.75,2.0,0.46
-74.5,4.25,0.0,0.46
-74.5,4.25,0.5,0.46
-74.5,4.25,1.0,0.46
-74.5,4.25,1.5,0.46
-74.5,4.25,2.0,0.46
-74.0,-4.25,0.0,0.46
-74.0,-4.25,0.5,0.46
-74.0,-4.25,1.0,0.46
-74.0,-4.25,1.5,0.46
-74.0,-4.25,2.0,0.46
-74.0,-3.75,0.0,0.46
-74.0,-3.75,0.5,0.46
-74.0,-3.75,1.0,0.46
-74.0,-3.75,1.5,0.46
-74.0,-3.75,2.0,0.46
-74.0,-3.25,0.0,0.46
-74.0,-3.25,0.5,0.46
-74.0,-3.25,1.0,0.46
-74.0,-3.25,1.5,0.46
-74.0,-3.25,2.0,0.46
-74.0,-2.75,0.0,0.46
-74.0,-2.75,0.5,0.46
-74.0,-2.75,1.0,0.46
-74.0,-2.75,1.5,0.46
-74.0,-2.75,2.0,0.46
-74.0,-2.25,0.0,0.46
-74.0,-2.25,0.5,0.46
-74.0,-2.25,1.0,0.46
-74.0,-2.25,1.5,0.46
-74.0,-2.25,2.0,0.46
-74.0,-1.75,0.0,0.46
-74.0,-1.75,0.5,0.46
-74.0,-1.75,1.0,0.46
-74.0,-1.75,1.5,0.46
-74.0,-1.75,2.0,0.46
-74.0,-1.25,0.0,0.46
-74.0,-1.25,0.5,0.46
-74.0,-1.25,1.0,0.46
-74.0,-1.25,1.5,0.46
-74.0,-1.25,2.0,0.46
-74.0,-0.75,0.0,0.46
-74.0,-0.75,0.5,0.46
-74.0,-0.75,1.0,0.46
-74.0,-0.75,1.5,0.46
-74.0,-0.75,2.0,0.46
-74.0,0.75,0.0,0.46
-74.0,0.75,0.5,0.46
-74.0,0.75,1.0,0.46
-74.0,0.75,1.5,0.46
