label;start_point_x;start_point_y;start_point_z;end_point_x;end_point_y;end_point_z;rel_speed;distance;critical_index;required_parameter1;required_parameter2;required_parameter3;speed;env_type1;env_type2;env_type3
Parking- Front;0;-1;0;5;1;1.8;15;5;0.48;position;;;15;urban;;
Parking- Side Left;0;-6;0;-5;-1;1.8;15;5;0.48;position;;;15;urban;;
Parking- Side Right;0;6;0;-5;1;1.8;15;5;0.48;position;;;15;urban;;
Parking- Rear;-5;-1;0;-10;1;1.8;5;5;0.3;position;;;5;urban;;
EBA- High Speed;46;-1;0;116;1;2;80;116;0.64;position;speed;;100;;;highway
EBA- Medium Speed;14;-1;0;46;1;2;50;46;0.64;position;speed;;60;urban;rural;highway
EBA- Low Speed;0;-1;0;14;1;2;30;14;0.89;position;speed;image;30;urban;rural;
Perpendicular crossing- near left;5;-1;0;33.012;-3;2;50;33.012;0.89;position;;image;50;urban;;
Perpendicular crossing- near right;5;1;0;33.012;3;2;50;33.012;0.89;position;;image;50;urban;;
Perpendicular crossing- far left;10;-3;0;33.012;-5;2;50;33.012;0.89;position;;image;50;urban;rural;
Perpendicular crossing- far right;10;3;0;33.012;5;2;50;33.012;0.89;position;;image;50;urban;rural;
Traffic sign recognition- last lane;14;1;2.1;35;2.5;3.6;100;35;0.5;;;image;50;urban;;
Traffic sign recognition- mid lane;19;3.25;2.1;35;4.75;3.6;100;35;0.5;;;image;50;urban;rural;highway
Traffic sign recognition- first lane;24;7.25;2.1;50;8.75;3.6;100;50;0.5;;;image;100;urban;rural;highway
Traffic sign recognition- overhanging;2;-3.75;4.5;20;3.75;6.5;60;5;0.5;;;image;60;urban;rural;
Lane keep- near;0;-2;0;14;2;0.5;50;0;0.5;;;image;50;urban;rural;
Lane keep- mid+far;14;-2;-0.5;50;2;0.5;80;14;0.5;;;image;80;;rural;highway
Junction - left;-5;1;0;20;51;2;50;50;0.7;position;speed;image;60;urban;rural;
Junction - right;-5;-1;0;20;-51;2;50;50;0.7;position;speed;image;60;urban;rural;
Junction- front;0;-12.5;0;50;12.5;2;50;50;0.7;position;speed;image;60;urban;rural;
Highway exit- rear;0;-0.75;0;-75;-4.25;2;40;75;0.46;position;speed;;80;;;highway
Highway exit- front;0;-0.75;0;60;-4.25;2;40;60;0.49;position;speed;;100;;;highway
Highway entry- rear;0;0.75;0;-75;4.25;2;40;75;0.46;position;speed;;100;;;highway
Highway entry- front;0;0.75;0;60;4.25;2;40;60;0.49;position;speed;;100;;;highway
